count,ave_length,tech,aor,year
1573,817.2104259376987,SmartLINK,St Paul,2021
895,1779.2513966480446,TR,St Paul,2021
482,433.448132780083,GPS,Washington DC,2021
3867,433.0196534781484,SmartLINK,Washington DC,2021
133,1003.9548872180452,TR,Washington DC,2021
353,475.2,GPS,Atlanta,2022
4031,415.28,SmartLINK,Atlanta,2022
471,1677.76,TR,Atlanta,2022
1,34.0,No Tech,Atlanta,2022
124,332.8,GPS,Baltimore,2022
2954,565.77,SmartLINK,Baltimore,2022
243,1489.33,TR,Baltimore,2022
2,35.5,No Tech,Baltimore,2022
252,182.89,GPS,Boston,2022
8430,255.42,SmartLINK,Boston,2022
13,933.31,TR,Boston,2022
40,58.93,No Tech,Boston,2022
4,624.0,GPS,Buffalo,2022
247,194.04,SmartLINK,Buffalo,2022
462,1152.15,TR,Buffalo,2022
264,514.19,GPS,Chicago,2022
11508,477.56,SmartLINK,Chicago,2022
1803,1893.12,TR,Chicago,2022
5,304.4,No Tech,Chicago,2022
92,337.78,GPS,Dallas,2022
2306,485.22,SmartLINK,Dallas,2022
21,1452.05,TR,Dallas,2022
3,47.0,No Tech,Dallas,2022
19,407.16,GPS,Denver,2022
3133,404.09,SmartLINK,Denver,2022
244,1958.98,TR,Denver,2022
3,386.0,No Tech,Denver,2022
65,714.15,GPS,Detroit,2022
7933,759.15,SmartLINK,Detroit,2022
1019,2122.64,TR,Detroit,2022
5,293.4,No Tech,Detroit,2022
273,319.03,GPS,El Paso,2022
12934,137.18,SmartLINK,El Paso,2022
541,1140.1,TR,El Paso,2022
5891,15.86,No Tech,El Paso,2022
1097,274.63,GPS,Harlingen,2022
45001,102.84,SmartLINK,Harlingen,2022
145,247.1,TR,Harlingen,2022
12133,23.8,No Tech,Harlingen,2022
481,384.49,GPS,Houston,2022
3057,238.25,SmartLINK,Houston,2022
17,1123.24,TR,Houston,2022
4,141.5,No Tech,Houston,2022
766,430.05,GPS,Los Angeles,2022
12325,301.16,SmartLINK,Los Angeles,2022
3490,1464.14,TR,Los Angeles,2022
437,66.42,No Tech,Los Angeles,2022
995,333.56,GPS,Miami,2022
13504,340.74,SmartLINK,Miami,2022
100,708.04,TR,Miami,2022
7,121.0,No Tech,Miami,2022
129,347.94,GPS,New Orleans,2022
3889,526.99,SmartLINK,New Orleans,2022
157,1407.17,TR,New Orleans,2022
23,48.0,No Tech,New Orleans,2022
383,447.1,GPS,New York,2022
10276,309.99,SmartLINK,New York,2022
323,1725.23,TR,New York,2022
7,414.14,No Tech,New York,2022
240,475.95,GPS,Newark,2022
13838,579.04,SmartLINK,Newark,2022
1717,2105.73,TR,Newark,2022
18,828.56,No Tech,Newark,2022
32,300.0,GPS,Philadelphia,2022
7336,364.01,SmartLINK,Philadelphia,2022
101,1366.6,TR,Philadelphia,2022
3,1317.33,No Tech,Philadelphia,2022
1542,213.31,GPS,Phoenix,2022
18767,109.0,SmartLINK,Phoenix,2022
3310,41.8,No Tech,Phoenix,2022
93,268.27,GPS,Salt Lake City,2022
8492,443.63,SmartLINK,Salt Lake City,2022
348,1271.91,TR,Salt Lake City,2022
21,84.29,No Tech,Salt Lake City,2022
477,292.22,GPS,San Antonio,2022
32849,126.7,SmartLINK,San Antonio,2022
2274,366.1,TR,San Antonio,2022
12092,49.01,No Tech,San Antonio,2022
243,826.44,GPS,San Diego,2022
10142,188.3,SmartLINK,San Diego,2022
280,1794.47,TR,San Diego,2022
2273,28.35,No Tech,San Diego,2022
824,552.88,GPS,San Francisco,2022
12053,556.88,SmartLINK,San Francisco,2022
4533,1860.96,TR,San Francisco,2022
38,1257.42,No Tech,San Francisco,2022
151,302.04,GPS,Seattle,2022
5297,580.99,SmartLINK,Seattle,2022
661,1914.12,TR,Seattle,2022
24,795.46,No Tech,Seattle,2022
116,666.22,GPS,St Paul,2022
2109,816.87,SmartLINK,St Paul,2022
540,2157.77,TR,St Paul,2022
31,1705.42,No Tech,St Paul,2022
309,564.33,GPS,Washington DC,2022
5043,468.67,SmartLINK,Washington DC,2022
41,1346.51,TR,Washington DC,2022
8,843.88,No Tech,Washington DC,2022
276,560.7826086956521,GPS,Atlanta,2023
4649,551.7268229726823,SmartLINK,Atlanta,2023
310,2083.670967741936,VoiceID,Atlanta,2023
101,302.009900990099,GPS,Baltimore,2023
3281,654.0825967692776,SmartLINK,Baltimore,2023
57,1657.59649122807,VoiceID,Baltimore,2023
100,292.02,GPS,Boston,2023
7043,444.3156325429504,SmartLINK,Boston,2023
2,904.0,VoiceID,Boston,2023
9,409.6666666666667,GPS,Buffalo,2023
317,322.2807570977918,SmartLINK,Buffalo,2023
270,1675.4925925925927,VoiceID,Buffalo,2023
261,465.9731800766284,GPS,Chicago,2023
12258,599.7856093979442,SmartLINK,Chicago,2023
1,2050.0,No Tech,Chicago,2023
765,2248.124183006536,VoiceID,Chicago,2023
83,379.9759036144578,GPS,Dallas,2023
1726,608.6002317497104,SmartLINK,Dallas,2023
1,104.0,No Tech,Dallas,2023
5,1429.8,VoiceID,Dallas,2023
35,171.4857142857143,GPS,Denver,2023
2726,448.9765223771093,SmartLINK,Denver,2023
50,714.34,VeriWatch,Denver,2023
85,2217.6117647058823,VoiceID,Denver,2023
79,588.6962025316456,GPS,Detroit,2023
9324,730.0845130845131,SmartLINK,Detroit,2023
657,2428.5981735159817,VoiceID,Detroit,2023
126,152.64285714285714,GPS,El Paso,2023
1780,276.1241573033708,SmartLINK,El Paso,2023
237,1381.970464135021,VoiceID,El Paso,2023
106,306.99056603773585,GPS,Harlingen,2023
14859,264.18668820243624,SmartLINK,Harlingen,2023
217,261.2350230414747,No Tech,Harlingen,2023
1,575.0,VoiceID,Harlingen,2023
308,499.9350649350649,GPS,Houston,2023
2950,357.3810169491525,SmartLINK,Houston,2023
445,332.2314606741573,GPS,Los Angeles,2023
9606,402.949406620862,SmartLINK,Los Angeles,2023
1,15.0,No Tech,Los Angeles,2023
50,486.22,VeriWatch,Los Angeles,2023
1144,1687.2342657342658,VoiceID,Los Angeles,2023
430,382.4302325581396,GPS,Miami,2023
17254,427.16749739190914,SmartLINK,Miami,2023
19,1284.2105263157894,VoiceID,Miami,2023
96,454.3645833333333,GPS,New Orleans,2023
4211,593.4692472096889,SmartLINK,New Orleans,2023
1,1326.0,No Tech,New Orleans,2023
38,1718.5526315789473,VoiceID,New Orleans,2023
310,561.7290322580645,GPS,New York,2023
8788,490.1016158397815,SmartLINK,New York,2023
3,296.0,No Tech,New York,2023
204,2060.1666666666665,VoiceID,New York,2023
272,336.55882352941177,GPS,Newark,2023
12671,640.5306605634914,SmartLINK,Newark,2023
6,1048.8333333333333,No Tech,Newark,2023
1281,2416.516783762685,VoiceID,Newark,2023
22,400.5,GPS,Philadelphia,2023
9240,452.6942640692641,SmartLINK,Philadelphia,2023
23,1704.9130434782608,VoiceID,Philadelphia,2023
102,148.30392156862746,GPS,Phoenix,2023
6167,184.6179665964002,SmartLINK,Phoenix,2023
71,244.0,No Tech,Phoenix,2023
69,577.9855072463768,GPS,Salt Lake City,2023
7296,570.5730537280701,SmartLINK,Salt Lake City,2023
112,1961.4107142857144,VoiceID,Salt Lake City,2023
76,164.32894736842104,GPS,San Antonio,2023
11524,234.0800937174592,SmartLINK,San Antonio,2023
309,277.621359223301,No Tech,San Antonio,2023
71,606.4507042253521,VoiceID,San Antonio,2023
176,706.4886363636364,GPS,San Diego,2023
5154,324.0192083818393,SmartLINK,San Diego,2023
17,1029.1764705882354,No Tech,San Diego,2023
92,2146.021739130435,VoiceID,San Diego,2023
686,469.365889212828,GPS,San Francisco,2023
15744,576.2716590447154,SmartLINK,San Francisco,2023
2,266.0,No Tech,San Francisco,2023
2478,2131.6723163841807,VoiceID,San Francisco,2023
113,219.3982300884956,GPS,Seattle,2023
6518,644.1383860079779,SmartLINK,Seattle,2023
1,1320.0,No Tech,Seattle,2023
389,2293.0282776349613,VoiceID,Seattle,2023
101,697.5544554455446,GPS,St Paul,2023
2930,839.4764505119454,SmartLINK,St Paul,2023
1,86.0,No Tech,St Paul,2023
266,2481.2255639097743,VoiceID,St Paul,2023
327,494.651376146789,GPS,Washington DC,2023
3929,576.8121659455333,SmartLINK,Washington DC,2023
2,1740.0,No Tech,Washington DC,2023
16,1535.875,VoiceID,Washington DC,2023
